t_index	tf_idf
12892	0.02975909585409467
5377	0.020862636473241453
6206	0.055419057872276314
2100	0.023248147318032694
12771	0.03803355763543476
13148	0.033844807416934956
8113	0.14026955335960975
4325	0.034771000473683075
11082	0.03312536697062695
8908	0.08527897754064676
8902	0.010983488005447047
10685	0.06843435339635928
7296	0.19945815143813767
7710	0.08938327138679847
6052	0.09706032987956847
6838	0.1456091162182357
1057	0.1893725571472478
11861	0.0372538450443665
10314	0.08052255654725908
3808	0.045439410908763495
11197	0.16178547074087068
12094	0.08528186768115156
9771	0.06591566517662578
11530	0.08528186768115156
11854	0.10396803965647747
8113	0.14026955335960975
7687	0.06257170631516813
11143	0.08239663555557118
9100	0.06334380892085767
4325	0.034771000473683075
11129	0.05981257018974346
8905	0.025397201857415848
3571	0.020594864191231303
10685	0.06843435339635928
7296	0.19945815143813767
8502	0.025905244632527528
3304	0.026361080699972228
68	0.03447038152861654
12561	0.0372538450443665
5359	0.057463828908809834
8536	0.036366231237562795
7296	0.19945815143813767
11795	0.03935188694113219
8908	0.08527897754064676
216	0.026361080699972228
5491	0.03710240882376003
11725	0.032104047178288804
10312	0.04916324793145966
6975	0.046224280731192405
7296	0.19945815143813767
1637	0.01747245080883449
11197	0.16178547074087068
9036	0.033722606313252294
6461	0.06898817717186272
7460	0.022692828435126752
7296	0.19945815143813767
11369	0.03787451142944956
9319	0.04263948877032338
9151	0.025908908101397215
8113	0.14026955335960975
8829	0.019320023476928527
2331	0.05277543294796581
9447	0.08987397778335597
2218	0.06334380892085767
12798	0.07784407703211883
9702	0.07784407703211883
2129	0.05640844028891043
7310	0.050163051793508356
5139	0.051602676935021186
10314	0.08052255654725908
3504	0.04285479772824965
11197	0.16178547074087068
5005	0.031248435332421574
13008	0.03243721662702943
4884	0.04140575016056377
3742	0.039897469968677005
12818	0.01691562872343013
3575	0.051602676935021186
9578	0.06415552347286241
3675	0.048843540809596506
13019	0.04822287442451345
1195	0.08881310641226578
4665	0.06257170631516813
9447	0.08987397778335597
10298	0.047921437419311284
3078	0.06257170631516813
10940	0.047921437419311284
13004	0.04595830868401613
11197	0.16178547074087068
5690	0.0385205180349834
9202	0.0861461531168715
11041	0.034857951045676024
10527	0.05859466446203506
11795	0.03935188694113219
10551	0.05494663579647883
5974	0.07016093318480734
1057	0.1893725571472478
6526	0.027306135456557693
6102	0.053608518150470325
4493	0.05237477954071073
12706	0.03803355763543476
11795	0.03935188694113219
8502	0.025905244632527528
1057	0.1893725571472478
5134	0.04044636768521767
6663	0.05801914779171577
9202	0.0861461531168715
8142	0.0356627836822472
8113	0.14026955335960975
9234	0.03421717669817964
10520	0.08239663555557118
3369	0.049489547415130335
945	0.050163051793508356
1057	0.1893725571472478
8113	0.14026955335960975
6515	0.020489011192608025
5340	0.025687576321594213
1867	0.033967959511531046
11854	0.10396803965647747
2025	0.04569673307089789
3189	0.06898817717186272
6423	0.047921437419311284
6612	0.033480999111982414
11221	0.04307307655843575
8175	0.04853016493978424
7296	0.19945815143813767
6052	0.09706032987956847
6838	0.1456091162182357
7710	0.08938327138679847
7773	0.018231480332995667
1057	0.1893725571472478
