t_index	term	df
346	allahbad	1
347	allan	1
348	alleg	72
349	allegedli	23
350	allegi	1
351	allen	22
352	allentown	1
353	alley	2
354	alleyway	3
355	allfranc	1
356	allfrench	2
357	alli	86
358	allianc	10
359	allimport	1
360	alliz	1
361	allnight	2
362	allot	1
363	allow	83
364	allparti	1
365	allstar	1
366	alltim	1
367	allud	2
368	allus	5
369	allwilliam	1
370	alma	1
371	almagor	1
372	almasri	2
373	almegrahi	1
374	almidhar	2
375	almihdar	3
376	almuhajiroun	3
377	almusawah	3
378	alnaderi	2
379	alnahdi	1
380	alnizali	1
381	alomeri	1
382	alongsid	39
383	alou	1
384	alowhali	2
385	alpha	2
386	alphabet	3
387	alpin	1
388	alqadhi	2
389	alqaeda	1
390	alqaida	3
391	alribat	1
392	alshahrani	3
393	alsharia	1
394	alsharjani	1
395	alsharq	1
396	alshueib	1
397	alter	8
398	altern	20
399	altitud	1
400	altogeth	4
401	aluminum	2
402	alun	6
403	alwadi	1
404	alzawahri	2
405	alzindani	1
406	amad	3
407	amanda	17
408	amarillo	2
409	amartej	3
410	amaru	4
411	amass	4
412	amateur	2
413	amaz	10
414	amazingli	1
415	ambassador	47
416	ambersag	1
417	ambigu	1
418	ambit	8
419	ambiti	2
420	ambival	2
421	ambul	11
422	ambush	1
423	ameli	6
424	amend	2
425	amerasian	1
426	america	128
427	american	341
428	americanislam	1
429	americanl	1
430	americanstatesman	1
431	americanyemeni	1
432	americorp	1
433	amh	1
434	ami	2
435	amiabl	2
436	amic	1
437	amid	51
438	amidship	2
439	amin	1
440	amit	1
441	amman	2
442	ammo	1
443	ammonium	1
444	ammunit	22
445	amnesia	2
446	amnesti	2
447	amount	30
448	amp	5
449	amphibi	3
450	ampl	2
451	ampli	1
452	amplifi	1
453	amput	12
454	ana	7
455	anacostia	1
456	analges	1
457	analog	1
458	analysi	9
459	analyst	38
460	analyz	5
461	anarch	2
462	anathema	1
463	anatoli	8
464	anca	4
465	ancestor	3
466	ancestr	25
467	ancestri	1
468	anchor	8
469	anchorag	2
470	anchorman	3
471	ancient	4
472	andean	6
473	anderson	4
474	andi	5
475	andjelkov	1
476	andoslavia	1
477	andov	1
478	andr	48
479	andrea	14
480	andrei	2
481	andrew	15
482	andrik	1
483	anew	7
484	angel	13
485	anger	46
486	angl	12
487	anglican	1
488	angri	27
489	angrili	4
490	anguish	8
491	anim	2
492	animist	2
493	animos	11
494	anjana	1
495	anjar	6
496	anjay	1
497	ank	2
498	ankl	8
499	ankledeep	1
500	ann	11
501	anna	21
502	annabel	1
503	annacon	1
504	annan	13
505	anniversari	15
506	announc	136
507	annoy	2
508	annual	18
509	annul	11
510	anomali	1
511	anonym	63
512	answer	48
513	antagon	1
514	antasiaovich	1
515	antenna	2
516	anthem	6
517	anthoni	27
518	anthropologist	2
519	anti	1
520	antiaircraft	2
521	antiamerican	16
522	antiballist	2
523	antibiot	5
524	antibush	1
525	anticastro	1
526	anticip	17
527	anticlimact	1
528	anticommunist	2
529	anticorrupt	2
530	antidiarrhea	1
531	antifbi	2
532	antiislam	3
533	antiisrael	2
534	antimilitari	1
535	antimilosev	20
536	antimissil	1
537	antinorthern	1
538	antiradar	1
539	antiship	2
540	antisoviet	1
541	antisubmarin	1
542	antiterror	6
543	antiterrorist	8
544	antiu	9
545	antiwar	8
546	antiwestern	5
547	antonia	6
548	antonin	1
549	antonio	26
550	anwar	4
551	anxieti	3
552	anxiou	11
553	anxious	2
554	anytim	4
555	aok	1
556	aon	1
557	ap	20
558	apart	39
559	ape	1
560	apec	4
561	apex	1
562	apolit	1
563	apolog	18
564	appal	1
565	appallingli	1
566	appar	100
567	apparatu	7
568	appeal	95
569	appear	176
570	appel	1
571	appetit	2
572	appl	3
573	applaud	10
574	applaus	8
575	applepick	1
576	appleton	2
577	appli	18
578	applic	16
579	appoint	65
580	appointe	3
581	apprais	2
582	appreci	9
583	apprehend	4
584	apprehens	2
585	apprentic	3
586	appris	1
587	approach	49
588	appropri	6
589	approv	25
590	april	67
591	aprista	4
592	apron	1
593	aquil	2
594	ar	1
595	arab	61
596	arabamerican	2
597	arabi	1
598	arabia	71
599	arabian	44
600	arabianborn	1
601	arablanguag	3
602	arablook	1
603	arabspeak	1
604	arafat	16
605	arantxa	3
606	arazi	7
607	arbadi	1
608	arbit	1
609	arbitrari	2
610	arbitrarili	1
611	arc	1
612	arch	2
613	archaeolog	2
614	archbishop	4
615	archer	1
616	archeri	4
617	archetyp	1
618	archi	5
619	archibald	1
620	architect	7
621	architectur	4
622	arctic	6
623	ardent	4
624	arduou	1
625	are	2
626	arena	22
627	argentin	1
628	argentina	10
629	argu	45
630	arguabl	2
631	argument	18
632	ari	1
633	arid	5
634	arif	1
635	arisen	1
636	arithmet	1
637	aritomi	4
638	ariz	6
639	arizona	7
640	ark	8
641	arkadelphia	1
642	arkan	1
643	arkansa	28
644	arkansasbas	1
645	arkin	2
646	arleigh	2
647	arleighburkeclass	1
648	arlen	2
649	arlington	8
650	arm	132
651	armament	2
652	armbrist	1
653	armenia	2
654	armey	1
655	armi	136
656	armitag	1
657	armor	17
658	armori	3
659	arn	3
660	arnaud	17
661	arni	1
662	arno	1
663	arnold	3
664	arnot	1
665	aros	5
666	arous	1
667	arraign	2
668	arrang	38
669	array	5
670	arrear	1
671	arrest	109
672	arriv	180
673	arrog	3
674	arrow	4
675	arsen	10
676	arseni	1
677	arsonist	1
678	art	9
679	arthriti	1
680	arthur	4
681	articl	5
682	articul	1
683	artifact	1
684	artifici	4
685	artist	4
686	artudo	1
687	arturo	6
688	aruba	2
689	aryapov	1
690	asa	1
691	asahi	1
692	ascend	1
693	ascrib	4
694	asean	1
695	ash	4
696	asham	1
697	ashcroft	56
698	ashkroft	1
699	ashok	1
700	ashor	2
701	ashraf	1
702	ashshaab	1
703	ashtray	1
704	asia	22
705	asian	15
706	asiapacif	16
707	asid	1
708	aspect	11
709	aspir	2
710	assad	1
711	assail	4
712	assam	6
713	assassin	21
714	assault	28
715	assembl	18
716	assemblyforexport	1
717	assert	17
718	assess	48
719	asset	10
720	assign	24
721	assist	76
722	assistedsuicid	1
723	associ	60
724	associateturnedinform	3
725	assort	1
726	assum	38
727	assumpt	7
728	assur	35
729	assuredli	2
730	astakhov	12
731	asterisk	2
732	astonish	7
733	astound	2
734	astronom	1
735	astut	1
736	asylum	29
737	asymmetr	2
738	atal	13
739	atck	2
740	ate	4
741	atf	2
742	atfein	1
743	ath	1
744	athal	1
745	athlet	3
746	atlant	15
747	atlanta	6
748	atmat	1
749	atmospher	10
750	atom	4
751	atop	13
752	atp	3
753	atroc	10
754	atrophi	1
755	atsea	3
756	attach	15
757	attack	306
758	attain	1
759	attempt	112
760	attend	68
761	attent	64
762	attest	2
763	attitud	10
764	attorney	58
765	attract	15
766	attribut	12
767	attrit	1
768	atwan	1
769	aubrey	19
770	aubri	5
771	audienc	16
772	audio	4
773	audiotap	1
774	auditor	5
775	auditorium	1
776	aug	33
777	augment	1
778	august	32
779	aunt	2
780	aur	5
781	aura	1
782	aurora	4
783	ausi	1
784	aussi	9
785	auster	2
786	austin	18
787	australia	23
788	australian	72
789	austria	3
790	austrian	1
791	austrohungarian	1
792	authent	2
793	author	255
794	authoritarian	27
795	auto	1
796	autocrat	27
797	autograph	1
798	autom	1
799	automat	18
800	automobil	4
801	autonom	1
802	autonomi	3
803	autopilot	1
804	autopsi	1
805	autumn	2
806	avail	3
807	avala	1
808	avalanch	1
809	ave	1
810	aveng	7
811	avent	1
812	avenu	4
813	averag	14
814	avert	6
815	aviat	3
816	aviv	4
817	avner	2
818	avoid	59
819	avow	1
820	aw	8
821	awad	2
822	await	26
823	awaken	2
824	awar	18
825	award	9
826	awe	3
827	aweigh	1
828	awestruck	1
829	awkward	4
830	awn	4
831	awok	1
832	axam	1
833	axe	1
834	ay	2
835	ayatollah	1
836	aykroyd	1
837	ayman	5
838	aynaoui	1
839	ayr	1
840	ayyam	1
841	az	1
842	aziz	1
843	azul	1
844	azulay	2
845	ba	2
846	babenko	2
847	babi	14
848	babkin	6
849	baboa	1
850	backa	1
851	backandforth	1
852	backbo	1
853	backcourt	1
854	backdrop	4
855	backer	14
856	backfir	5
857	background	4
858	backhand	14
859	backho	1
860	backlash	3
861	backstop	2
862	backtoback	5
863	backup	2
864	backward	3
865	backyard	1
866	bacon	18
867	bad	39
868	badg	3
869	badli	39
870	badrasen	5
871	baffl	2
872	bag	14
873	bagad	1
874	baggag	1
875	baghbel	1
876	baghdad	2
877	bahgbo	5
878	bahrain	34
879	bahrainbas	3
880	bai	1
881	baijubahi	2
882	bail	4
883	bailey	6
884	baird	1
885	bairnt	1
886	bakarec	3
887	bake	2
888	baken	1
889	baker	5
890	bakhshish	1
891	bakri	5
892	balanc	20
893	balawat	1
894	balcacer	2
895	balconi	11
896	bald	1
897	balintkurti	1
898	balk	4
899	balkan	25
900	ball	29
901	ballard	1
902	ballast	2
903	ballena	1
904	ballist	1
905	ballo	1
906	balloon	3
907	ballot	72
908	ballroom	2
909	ballstrik	1
910	balonia	1
911	balsamo	1
912	baltimor	3
913	baltin	1
914	bamba	3
915	bambi	1
916	bamboo	2
917	bamboosupport	2
918	bament	1
919	ban	24
920	banco	1
921	band	11
922	bandag	8
923	bandanna	3
924	bandit	1
925	bang	7
926	bangalor	1
927	bangaru	3
928	bangladesh	5
929	bank	68
930	banker	10
931	bankfraud	1
932	bankrupt	5
933	bankruptci	4
934	banner	9
935	banquet	1
936	baptist	5
937	bar	54
938	barak	9
939	barb	4
940	barbar	2
941	barbara	24
942	barber	1
943	barbershop	1
944	barcelona	1
945	bare	46
946	barefacedli	1
947	barent	36
948	barg	3
949	bargain	9
950	bari	1
951	bark	1
952	barkina	2
953	barkolla	1
954	barkova	3
955	barna	4
956	barney	1
957	barnstorm	1
958	barot	1
959	barov	1
960	barr	1
961	barrack	35
962	barrag	2
963	barrel	2
964	barrera	2
965	barri	1
966	barricad	18
967	barrier	12
968	bartlett	1
969	barua	5
970	base	166
971	basebal	4
972	baseballstyl	1
973	baseerod	1
974	baselin	16
975	baselinebound	1
976	basement	1
977	basher	1
978	bashraheel	1
979	bashrahel	1
980	basi	15
981	basic	43
982	basilica	1
983	bask	2
984	basket	3
985	basketbal	1
986	basset	1
987	bassiouni	1
988	bastion	6
989	batch	1
990	bath	4
991	bathroom	3
992	bathtub	1
993	batic	2
994	baton	4
995	battalion	3
996	batten	1
997	batter	8
998	batteri	1
999	batteryoper	1
1000	battl	76
1001	battlefield	4
1002	battleground	8
1003	battleharden	2
1004	bauman	6
1005	bautista	1
1006	bavaria	1
1007	bay	7
1008	bazaar	1
1009	bbc	29
1010	beach	17
1011	beachfront	1
1012	bead	1
1013	beal	1
1014	beam	13
1015	bean	3
1016	bear	23
1017	beard	18
1018	bearer	2
1019	beat	79
1020	beaten	31
1021	beater	3
1022	beaumontbas	1
1023	beauti	6
1024	beaver	1
1025	becausec	1
1026	beci	2
1027	becker	1
1028	bed	35
1029	bedanova	2
1030	bedi	12
1031	bedouin	1
1032	bedroom	6
1033	bedsheet	1
1034	beef	6
1035	beer	2
1036	befit	1
1037	befriend	1
1038	befuddl	1
1039	beg	4
1040	beggar	1
1041	begun	31
