t_index	term	df
3477	earthquakedriven	1
3478	earthquakeravag	1
3479	earthquakestricken	1
3480	earthquaketrigg	2
3481	eas	27
3482	easi	34
3483	easier	12
3484	easiest	2
3485	easili	25
3486	easley	1
3487	east	127
3488	eastern	40
3489	eat	15
3490	eaten	2
3491	eavesdrop	1
3492	eb	3
3493	ebb	5
3494	ebri	1
3495	eccel	1
3496	echeverria	1
3497	echo	28
3498	eclips	2
3499	ecolog	1
3500	ecologist	1
3501	ecommerc	1
3502	econolin	1
3503	econom	83
3504	economi	73
3505	economist	12
3506	ecstat	1
3507	ecuador	10
3508	ecuadorian	1
3509	ed	3
3510	edberg	1
3511	edg	46
3512	edgar	1
3513	edict	1
3514	edific	1
3515	edikipa	1
3516	edinburgh	1
3517	edit	16
3518	editor	16
3519	editori	16
3520	editorinchief	1
3521	edmond	32
3522	edmund	25
3523	edmundo	1
3524	edt	13
3525	eduard	1
3526	eduardo	1
3527	educ	37
3528	edward	6
3529	edwardo	1
3530	edwin	2
3531	eeri	2
3532	eerili	1
3533	effect	47
3534	effici	4
3535	effort	185
3536	effortlessli	1
3537	egg	5
3538	egoavil	3
3539	egotist	2
3540	egregi	1
3541	egypt	26
3542	egyptian	31
3543	ehud	8
3544	eightday	2
3545	eighteenmonthold	1
3546	eighth	15
3547	eighthcenturi	1
3548	eighthseed	6
3549	eightman	1
3550	eightmemb	1
3551	eightmonth	1
3552	eightvolum	1
3553	eightyear	3
3554	eightyseven	2
3555	eightyyearold	1
3556	eisenhow	3
3557	eject	2
3558	ekra	1
3559	el	68
3560	elabor	24
3561	elana	1
3562	elast	1
3563	elat	1
3564	elattar	1
3565	elayn	1
3566	elbaum	1
3567	elbow	7
3568	elder	6
3569	elderli	5
3570	eldest	3
3571	elect	298
3572	electionday	1
3573	electionnight	1
3574	elector	80
3575	electr	42
3576	electrician	3
3577	electricpow	1
3578	electrifi	1
3579	electrocut	1
3580	electron	11
3581	eleg	5
3582	element	21
3583	elementari	2
3584	elena	6
3585	elev	4
3586	eleven	12
3587	elia	4
3588	eliac	1
3589	elier	1
3590	elig	10
3591	elimin	32
3592	elit	7
3593	elizabeth	7
3594	ellen	5
3595	elli	2
3596	elliot	2
3597	ellips	2
3598	ellipt	1
3599	ellwood	1
3600	elmisri	1
3601	elnhandcount	1
3602	elnleg	1
3603	elnmilitari	1
3604	elnrdp	1
3605	elong	1
3606	elsheikh	3
3607	elsirri	1
3608	elton	1
3609	elud	12
3610	elus	4
3611	em	2
3612	email	7
3613	eman	1
3614	emanuel	1
3615	embargo	31
3616	embark	4
3617	embarrass	10
3618	embassi	116
3619	embattl	9
3620	embed	1
3621	embellish	1
3622	emblemat	1
3623	embrac	20
3624	embroil	1
3625	emerg	109
3626	emerson	2
3627	emigr	7
3628	emil	5
3629	emili	2
3630	emilio	2
3631	emin	2
3632	emir	7
3633	emiss	1
3634	emissari	1
3635	emit	1
3636	emkne	1
3637	emmanuel	3
3638	emot	47
3639	empathet	1
3640	empathi	1
3641	emperor	4
3642	emphas	9
3643	emphasi	7
3644	emphat	5
3645	empir	6
3646	employ	19
3647	employe	50
3648	empow	2
3649	empti	14
3650	emul	3
3651	en	32
3652	enabl	10
3653	enact	4
3654	encircl	1
3655	enclos	1
3656	encor	1
3657	encount	15
3658	encourag	33
3659	end	1
3660	endang	5
3661	enddat	2
3662	endear	1
3663	endeavor	3
3664	endem	1
3665	endoftheyear	2
3666	endors	12
3667	endur	18
3668	enemi	46
3669	energ	3
3670	energet	1
3671	energi	29
3672	enforc	44
3673	engag	25
3674	engend	2
3675	engin	50
3676	engineerman	1
3677	engineman	1
3678	engineroom	2
3679	england	2
3680	english	13
3681	englishderiv	1
3682	englishlanguag	3
3683	englishspeak	4
3684	engrav	1
3685	engulf	7
3686	enhanc	5
3687	enigmat	1
3688	enjoin	1
3689	enjoy	19
3690	enlarg	4
3691	enlist	12
3692	enmesh	1
3693	enmiti	2
3694	enorm	27
3695	enqvist	1
3696	enrag	2
3697	enrich	1
3698	ensembl	2
3699	ensign	4
3700	ensnar	2
3701	ensu	9
3702	ensul	1
3703	ensur	34
3704	entail	1
3705	entangl	1
3706	enter	64
3707	enterpris	4
3708	entertain	5
3709	enthusiasm	8
3710	enthusiast	7
3711	entic	4
3712	entir	36
3713	entireti	1
3714	entiti	2
3715	entitl	6
3716	entomb	4
3717	entourag	3
3718	entranc	7
3719	entrench	2
3720	entrepreneur	2
3721	entrepreneuri	2
3722	entrepreneurship	5
3723	entri	3
3724	entrust	1
3725	envelop	1
3726	envi	1
3727	environ	8
3728	environment	11
3729	environmentalist	3
3730	envis	2
3731	envisag	1
3732	envoy	7
3733	epa	1
3734	epicent	31
3735	epicmra	2
3736	epidem	2
3737	epiphani	1
3738	episcop	3
3739	episod	2
3740	equal	20
3741	equanim	1
3742	equip	88
3743	equival	12
3744	er	2
3745	era	43
3746	eras	11
3747	erect	7
3748	erena	1
3749	eri	3
3750	eric	6
3751	erinson	1
3752	erlang	1
3753	ernesto	4
3754	erni	4
3755	erod	8
3756	eros	4
3757	errand	1
3758	errat	8
3759	erron	3
3760	error	47
3761	errorpron	1
3762	errrr	1
3763	erupt	18
3764	es	5
3765	esam	1
3766	escal	9
3767	escap	85
3768	escape	28
3769	escort	10
3770	escud	3
3771	espehello	1
3772	espi	6
3773	espionag	34
3774	espitia	1
3775	espo	1
3776	espous	1
3777	essay	3
3778	essenc	3
3779	essenti	16
3780	est	1
3781	establish	49
3782	estat	18
3783	estim	63
3784	estrada	1
3785	estrang	1
3786	etar	1
3787	etcetera	1
3788	ethan	2
3789	ethic	7
3790	ethiopia	1
3791	ethnic	34
3792	ethnocentr	2
3793	etoge	1
3794	eu	8
3795	eugen	4
3796	eulog	3
3797	euphor	1
3798	euphoria	6
3799	europ	50
3800	european	52
3801	evacu	24
3802	evad	7
3803	evalu	11
3804	evan	5
3805	evanel	1
3806	evapor	3
3807	evas	14
3808	eve	62
3809	evelyn	2
3810	even	64
3811	evenh	1
3812	evenhand	4
3813	event	85
3814	eventu	45
3815	everett	1
3816	evershrink	2
3817	eversinc	1
3818	evert	11
3819	everworsen	1
3820	everybodi	1
3821	everyday	10
3822	everyon	2
3823	everyth	1
3824	evi	4
3825	evict	2
3826	evid	130
3827	evidenc	1
3828	evidencegath	1
3829	evil	2
3830	evoc	1
3831	evok	1
3832	evolut	3
3833	ewe	4
3834	exacerb	1
3835	exact	8
3836	exagger	4
3837	exalt	1
3838	exam	4
3839	examin	47
3840	exampl	2
3841	exasper	2
3842	excabinet	1
3843	excav	12
3844	exceed	5
3845	exceedingli	1
3846	excel	5
3847	except	7
3848	excerpt	5
3849	excess	2
3850	exchang	23
3851	excia	2
3852	excit	9
3853	exclaim	1
3854	exclam	2
3855	exclud	20
3856	exclus	20
3857	exclusion	2
3858	exclusionari	1
3859	excruci	1
3860	excus	7
3861	execut	71
3862	exemplari	1
3863	exemplifi	1
3864	exempt	2
3865	exercis	22
3866	exhaust	26
3867	exhibit	3
3868	exhilar	1
3869	exhort	2
3870	exhous	1
3871	exhusband	3
3872	exil	41
3873	exintellig	7
3874	exintern	1
3875	exist	20
3876	exit	25
3877	exlead	1
3878	exnew	3
3879	exocet	1
3880	exodu	3
3881	exoner	1
3882	expand	18
3883	expans	5
3884	expatri	3
3885	expect	187
3886	expectantli	1
3887	expedi	2
3888	expedit	4
3889	expel	5
3890	expenditur	2
3891	expens	21
3892	experi	46
3893	experienc	8
3894	expert	118
3895	expertis	8
3896	expir	9
3897	explain	35
3898	explan	13
3899	explicit	4
3900	explicitli	6
3901	explod	43
3902	exploit	7
3903	explor	13
3904	explos	222
3905	explosivesladen	3
3906	explosivespack	1
3907	export	19
3908	exportimport	1
3909	expos	8
3910	expossess	2
3911	expresid	7
3912	express	74
3913	expressnew	1
3914	expuls	1
3915	exquisit	1
3916	exsaudi	1
3917	exspi	12
3918	extend	38
3919	extens	34
3920	extent	27
3921	exterior	3
3922	extern	14
3923	extinct	2
3924	extinguish	2
3925	extol	2
3926	extort	4
3927	extra	20
3928	extract	6
3929	extradit	33
3930	extraleg	1
3931	extraordinari	12
3932	extraordinarili	2
3933	extravag	2
3934	extrem	21
3935	extremist	17
3936	extric	2
3937	exuber	1
3938	exud	1
3939	exult	1
3940	exwif	9
3941	eyadema	1
3942	eyal	1
3943	eye	61
3944	eyebal	1
3945	eyelid	1
3946	eyesburn	1
3947	eyewit	10
3948	eyewitnesss	1
3949	fa	1
3950	faa	1
3951	fabiani	1
3952	fabric	5
3953	facad	4
3954	face	46
3955	faceoff	2
3956	facetofac	1
3957	facial	1
3958	facil	45
3959	facilit	4
3960	factbook	4
3961	factfind	1
3962	faction	13
3963	facto	2
3964	factor	23
3965	factori	20
3966	factual	1
3967	fade	23
3968	fadeyev	1
3969	fagan	1
3970	fahrenheit	1
3971	fail	115
3972	failur	16
3973	faint	6
3974	faintli	1
3975	fair	45
3976	fairfax	1
3977	fairleigh	1
3978	fairli	16
3979	fairskin	1
3980	faisal	1
3981	faith	8
3982	faithbas	1
3983	faithless	1
3984	fake	10
3985	fall	68
3986	fallen	27
3987	fallout	1
3988	faln	1
3989	fals	30
3990	falsif	1
3991	falsifi	5
3992	falter	4
3993	fame	6
3994	famili	213
3995	familiar	17
3996	famou	4
3997	fan	10
3998	fanci	1
3999	fanfar	2
4000	faraway	3
4001	farc	2
4002	fare	1
4003	farera	1
4004	farewel	16
4005	farflung	3
4006	farid	1
4007	farina	3
4008	farinella	1
4009	farm	9
4010	farmer	8
4011	farmington	1
4012	farrier	1
4013	farther	2
4014	farthest	2
4015	fascin	5
4016	fascist	3
4017	fashion	7
4018	faso	8
4019	fast	22
4020	faster	11
4021	fastest	2
4022	fastfad	1
4023	fastfood	1
4024	fat	2
4025	fatal	8
4026	fatalist	1
4027	fate	32
4028	father	76
4029	fatherinlaw	1
4030	fatherless	1
4031	fatigu	7
4032	fatwa	1
4033	fault	20
4034	faulti	1
4035	favor	49
4036	favorit	14
4037	faw	1
4038	fax	14
4039	fay	1
4040	fayettevil	1
4041	fbi	117
4042	fbile	1
4043	fbiyemeni	1
4044	fd	1
4045	fda	1
4046	fear	108
4047	fearless	4
4048	fearmong	1
4049	feasibl	4
4050	feast	1
4051	feat	8
4052	featur	19
4053	feb	2
4054	februari	3
4055	fed	15
4056	feder	138
4057	federalist	1
4058	federico	11
4059	fee	5
4060	feed	14
4061	feel	118
4062	feet	61
4063	fehn	2
4064	feign	1
4065	feingold	1
4066	feinstein	3
4067	felix	9
4068	fell	66
4069	fellow	38
4070	fellowstud	1
4071	felon	4
4072	feloni	13
4073	femal	13
4074	feminist	1
4075	fenc	6
4076	fend	2
4077	ferdinand	1
4078	ferment	1
4079	fernand	5
4080	fernandez	1
4081	fernando	5
4082	feroci	1
4083	ferraro	1
4084	ferreira	3
4085	ferrer	1
4086	ferrero	12
4087	ferret	2
4088	ferri	4
4089	fertil	3
4090	fervor	5
4091	fest	1
4092	festiv	8
4093	fetch	1
4094	fever	6
4095	feverish	1
4096	fewer	17
4097	fewest	1
4098	fhimah	1
4099	fiance	1
4100	fiberglass	9
4101	fiction	2
4102	fictiti	3
4103	fidel	5
4104	fidelia	2
4105	fidget	2
4106	fie	1
4107	fiefdom	2
4108	field	49
4109	fierc	16
4110	fieri	3
4111	fierrera	1
4112	fife	2
4113	fifteen	3
4114	fifteenth	1
4115	fifthseed	2
4116	fifthset	1
4117	fifti	1
4118	fiftythre	1
4119	fight	76
4120	fighter	14
4121	figur	93
4122	fijimori	1
4123	file	40
4124	filipov	1
4125	fill	60
4126	fillmor	1
4127	film	8
4128	filter	1
4129	filth	1
4130	final	198
4131	finalhour	1
4132	finalist	5
4133	financ	40
4134	financi	63
4135	find	65
4136	fine	43
4137	finest	5
4138	finger	10
4139	fingerpoint	3
4140	fingerprint	5
4141	fingertip	1
4142	finish	57
4143	finit	2
4144	fink	3
4145	finland	2
4146	finsburi	1
4147	fir	4
4148	fire	124
4149	firearm	12
4150	firebal	1
4151	firebomb	1
4152	firebreath	1
4153	firecrack	2
4154	firefight	6
4155	fireman	4
4156	firepow	2
4157	fireston	1
4158	firestorm	1
4159	firework	5
4160	firm	32
4161	firmer	1
4162	firmli	11
4163	first	1
4164	firstclass	1
4165	firstdegre	1
4166	firsthand	1
4167	firstli	1
4168	firstround	16
4169	firstset	4
4170	firstterm	2
4171	firsttim	2
4172	fiscal	3
4173	fischer	2
4174	fish	10
4175	fisheri	1
4176	fisherman	2
4177	fishermen	5
4178	fissur	1
4179	fist	7
4180	fit	27
4181	fitcher	1
4182	fitter	1
4183	fittingli	1
4184	fitzgerald	7
4185	fivecandid	10
4186	fiveday	4
4187	fiveinch	1
4188	fivememb	3
4189	fiveminut	2
4190	fiveset	6
4191	fivesett	2
4192	fivestori	3
4193	fiveterm	4
4194	fivetim	1
4195	fivevot	1
4196	fiveweek	3
4197	fiveyear	24
4198	fiveyearold	1
4199	fix	5
4200	fizzl	1
4201	fla	14
4202	flabas	2
4203	flabbergast	1
4204	flag	36
4205	flagdrap	6
4206	flagrant	2
4207	flagwav	4
4208	flair	2
4209	flak	1
4210	flake	3
4211	flaku	3
4212	flame	9
4213	flank	6
4214	flare	2
4215	flareup	1
4216	flash	3
4217	flashbulb	1
4218	flashlight	1
4219	flashpoint	3
4220	flat	11
4221	flatb	1
4222	flatfoot	1
4223	flatli	1
4224	flatout	1
4225	flatten	23
4226	flatter	1
4227	flatwar	1
4228	flaw	15
4229	flawless	2
4230	flawlessli	1
4231	flea	1
4232	fled	72
4233	fledgl	2
4234	flee	36
4235	fleet	71
4236	fleischer	1
4237	flesh	2
4238	fletchal	1
4239	fletcher	4
4240	flew	33
4241	flex	1
4242	flexibl	2
4243	flfing	1
4244	fli	49
4245	flier	1
4246	flight	49
4247	flimsi	1
4248	fling	1
4249	flint	1
4250	flintoff	2
4251	flip	3
4252	flipflop	4
4253	float	15
4254	floater	1
4255	flood	36
4256	floodcontrol	2
4257	floodlight	1
4258	floodlit	2
4259	floor	37
4260	flore	15
4261	floresc	1
4262	florez	2
4263	florida	42
4264	florist	1
4265	floss	1
4266	flotilla	12
4267	flour	2
4268	flourish	3
4269	flow	10
4270	flower	8
4271	flown	44
4272	floyd	2
4273	fluctuat	1
4274	fluid	2
4275	flung	5
4276	fluorid	1
4277	flurri	4
4278	flush	1
4279	fluster	2
4280	fluti	1
4281	flux	1
4282	flyaround	1
4283	focu	44
4284	focus	45
4285	focusgroup	1
4286	focuss	2
4287	foe	16
4288	fofana	2
4289	fog	11
4290	foggi	4
4291	foil	6
4292	fold	3
4293	foley	2
4294	folk	7
4295	folklor	1
4296	follow	70
4297	followup	2
4298	foment	3
4299	fond	2
4300	font	1
4301	food	59
4302	fool	2
4303	foolish	1
4304	foot	79
4305	footag	3
4306	footbal	9
4307	footballs	1
4308	footbyfoot	4
4309	footdeep	2
4310	foothigh	4
4311	foothil	6
4312	foothold	6
4313	footinch	1
4314	footlong	4
4315	footnot	1
4316	footprint	1
4317	footstep	1
4318	footwear	1
4319	footwork	1
4320	forag	4
4321	foray	3
4322	forb	3
4323	forbid	1
4324	forbidden	2
4325	forc	365
4326	forcep	1
4327	forcesix	1
4328	forcibl	2
4329	ford	11
4330	fore	2
4331	forebod	1
4332	forecast	8
4333	foreclos	1
4334	forefront	2
4335	forehand	15
4336	forehead	2
4337	foreign	191
4338	foremost	3
4339	forens	21
4340	forerunn	2
4341	forese	3
4342	foreseen	1
4343	forest	9
4344	foretast	1
4345	forev	9
4346	foreword	1
4347	forg	4
4348	forgav	1
4349	forgeri	1
4350	forget	12
4351	forgiv	7
4352	forgiven	1
4353	forgot	1
4354	forgotten	5
4355	fork	2
4356	forkid	1
4357	form	95
4358	formal	42
4359	format	9
4360	formid	2
4361	formul	1
4362	formula	3
4363	fornl	1
4364	forprofit	1
4365	forsak	1
4366	fort	11
4367	forti	4
4368	fortifi	2
4369	fortitud	1
4370	fortnight	1
4371	fortress	1
4372	fortun	16
4373	fortyseven	1
4374	forum	15
4375	forward	57
4376	foster	4
4377	fought	45
4378	foulsmel	1
4379	found	14
4380	foundat	8
4381	founder	10
4382	fountain	1
4383	fourblock	1
4384	fourday	4
4385	fourhour	3
4386	fourinch	2
4387	fourminut	1
4388	fourperson	1
4389	fourpoint	1
4390	fourstar	4
4391	fourstori	5
4392	fourterm	2
4393	fourth	53
4394	fourthfloor	1
4395	fourthround	5
4396	fourthseed	1
4397	fourtim	10
4398	fourwheel	1
4399	fourwheeldr	7
4400	fouryear	7
4401	fox	6
4402	foyer	2
4403	fpi	2
4404	fpt	1
4405	fr	1
4406	fraction	7
4407	fractiou	2
4408	fractur	9
4409	fragil	7
4410	fragment	9
4411	fraim	1
4412	frame	5
4413	framework	2
4414	franc	34
4415	francepress	1
4416	franchis	1
4417	franci	6
4418	franciscan	2
4419	francisco	37
4420	francoi	1
4421	franjo	3
4422	frank	28
4423	frankfurt	9
4424	frankli	8
4425	frantic	20
4426	fraser	1
4427	frasur	1
4428	fraud	68
4429	fraudul	5
4430	fraught	3
4431	fray	4
4432	frazier	2
4433	fred	2
4434	freder	1
4435	fredericqu	1
4436	frederik	1
4437	free	113
4438	freed	22
4439	freedom	40
4440	freedomlov	1
4441	freeforal	1
4442	freeh	25
4443	freelanc	1
4444	freeli	14
4445	freelli	1
4446	freemarket	2
4447	freer	2
4448	freewheel	1
4449	freez	2
4450	freight	2
4451	fremd	5
4452	fremont	2
4453	french	64
4454	frenchbuilt	2
4455	frenchmad	1
4456	frenchman	8
4457	frenchmen	1
4458	frenchspeak	1
4459	frenchtrain	1
4460	frenchwoman	2
4461	frenzi	3
4462	frequent	28
4463	fresh	18
4464	fresher	1
4465	freshman	5
4466	freshmen	1
4467	fresno	1
4468	fri	1
4469	friction	1
4470	friday	216
4471	friend	80
4472	friendli	18
4473	friendship	6
4474	frigat	10
4475	frighten	21
4476	frigid	1
4477	frist	2
4478	frond	1
4479	front	77
4480	frontend	5
4481	frontier	1
4482	frontlin	1
4483	frontman	1
4484	frontpag	2
4485	frontrun	2
4486	frontrunn	1
4487	frown	1
4488	froze	7
4489	frozen	4
4490	fruit	7
4491	fruition	1
4492	fruitless	1
4493	frustrat	40
4494	fs	1
4495	fsb	4
4496	ft	1
4497	fudg	1
4498	fuel	40
4499	fuerth	1
4500	fugazi	5
4501	fugimori	1
4502	fugit	72
4503	fujimori	62
4504	fulfil	5
4505	fullest	4
4506	fullfledg	1
4507	fullpag	2
4508	fullscal	1
4509	fullthroat	3
4510	fume	1
4511	fun	2
4512	function	14
4513	functionari	2
4514	fund	52
4515	fundament	13
4516	fundamentalist	9
4517	fundrais	20
4518	funer	19
4519	funnel	3
4520	funni	2
4521	furi	5
4522	furiou	12
4523	furious	6
4524	furnish	2
4525	furnitur	6
4526	furor	2
4527	furrow	2
4528	furthest	1
4529	furtiv	2
4530	fuselag	1
4531	fuss	1
4532	futa	1
4533	futil	4
4534	futur	88
4535	futurist	1
4536	fuzzi	1
4537	ga	49
4538	gabbi	1
4539	gabe	1
4540	gabon	2
4541	gabriel	1
4542	gadget	1
4543	gadhafi	1
4544	gaell	1
4545	gaff	1
4546	gafney	1
4547	gag	1
4548	gagliardi	2
4549	gagnoa	4
4550	gaig	1
4551	gain	73
4552	gajar	1
4553	gal	1
4554	galapago	2
4555	gale	6
4556	galiardi	1
4557	gallup	3
4558	gallust	3
4559	galo	8
4560	galvan	2
4561	galvin	1
4562	gamarra	1
4563	gambler	2
4564	game	57
4565	gan	3
4566	gandhi	7
4567	gandhinagar	1
4568	gang	17
4569	gangster	1
4570	gangsterstyl	1
4571	gantlet	1
4572	gap	11
4573	gape	16
4574	garag	6
4575	garbag	16
4576	garbageremov	1
4577	garbl	4
4578	garcia	23
4579	garden	13
4580	gari	8
4581	garin	1
4582	garland	1
4583	garment	1
4584	garner	5
4585	garri	2
4586	garro	1
4587	garwood	3
4588	gase	1
4589	gash	4
4590	gasolin	2
4591	gasp	1
4592	gaspow	1
4593	gaston	1
4594	gate	17
4595	gatehous	2
4596	gateway	2
4597	gather	88
4598	gatl	1
4599	gatorad	1
4600	gaudi	1
4601	gaug	4
4602	gauna	2
4603	gaur	1
4604	gautam	1
4605	gavel	1
4606	gavlak	1
4607	gawker	1
4608	gay	10
4609	gaye	3
4610	gaza	16
4611	gaze	4
4612	gazett	1
4613	gazilliondollar	1
4614	gbagbo	38
4615	gbessi	1
4616	gear	10
4617	gedda	1
4618	gedrif	1
4619	gee	1
4620	geeman	1
4621	gehman	10
4622	gehmancrouch	1
4623	gejdenson	4
4624	gelu	1
4625	gen	77
4626	gendarm	2
4627	gene	2
4628	gener	59
4629	generalsecretari	1
4630	generos	2
4631	genex	1
4632	genocid	4
4633	genom	1
4634	genrikh	1
4635	gentl	1
4636	gentleman	1
4637	gentlemen	1
4638	gentli	6
4639	genuin	5
4640	geo	1
4641	geoff	1
4642	geofferi	1
4643	geoffrey	3
4644	geographi	1
4645	geolog	11
4646	geologist	2
4647	geopolit	1
4648	georg	117
4649	georgetown	1
4650	georgi	1
4651	georgia	9
4652	georgian	2
4653	gephardt	2
4654	gerald	1
4655	gerd	1
4656	gerhard	5
4657	gerin	1
4658	german	23
4659	germani	63
4660	germanydeport	1
4661	germicid	1
4662	gerri	1
4663	gerstein	1
4664	gestapo	1
4665	gestur	21
4666	getalong	1
4667	getaway	7
4668	getoutthevot	2
4669	ghee	1
4670	ghost	4
4671	gi	1
4672	giant	11
4673	gift	18
4674	gigant	1
4675	giggl	2
4676	gil	1
4677	gila	1
4678	gilbert	1
4679	gillespi	2
4680	gilman	1
4681	gilmor	2
4682	gimbel	1
4683	gina	1
4684	ginger	2
4685	gingerli	3
4686	girder	1
4687	girl	29
4688	girlfriend	3
4689	giuliani	12
4690	gizbert	3
4691	glad	11
4692	gladi	1
4693	gladkovich	1
4694	gladli	1
4695	glanc	5
4696	glascoff	1
4697	glaspi	3
4698	glass	17
4699	gleefulli	2
4700	glen	4
4701	glenni	2
4702	glimps	6
4703	glisten	1
4704	global	19
4705	globe	6
4706	glori	3
4707	gloria	1
4708	glorifi	1
4709	gloriou	2
4710	glove	4
4711	glow	3
4712	glue	4
4713	glum	1
4714	gmc	1
4715	gnassingb	1
4716	gnd	1
4717	go	2
4718	goal	19
4719	goate	1
4720	gobbl	1
4721	god	36
4722	goddess	1
4723	godfear	1
4724	goggl	1
4725	goh	1
4726	goin	4
4727	goingaway	1
4728	gokool	1
4729	gold	15
4730	golden	4
4731	goldman	3
4732	goldsmith	3
4733	goldstein	4
4734	golf	4
4735	golfer	1
4736	goliath	1
4737	gonna	5
4738	goodbehavior	1
4739	goodby	9
4740	goodnatur	1
4741	goodwil	4
4742	gop	22
4743	gopcontrol	1
4744	gopheld	1
4745	goptrend	2
4746	goran	6
4747	gorbachov	1
4748	gordana	1
4749	gordi	3
4750	gordon	7
4751	gore	65
4752	gorebush	1
4753	gorelieberman	4
4754	gorgeou	1
4755	gorton	8
4756	gosh	1
4757	gossip	1
4758	gostran	1
4759	gov	61
4760	gove	1
4761	govern	347
4762	government	2
4763	governmentback	1
4764	governmentcontrol	2
4765	governmentown	3
4766	governmentrun	2
4767	governmentsponsor	1
4768	governmentsuppli	1
4769	governor	78
4770	gown	3
4771	grab	15
4772	grabbi	1
4773	grace	6
4774	graceless	1
4775	graciou	3
4776	grade	1
4777	grado	1
4778	gradual	9
4779	graduat	5
4780	graf	2
4781	graff	1
4782	graffiti	2
4783	graham	3
4784	grain	3
4785	graini	1
4786	gram	12
4787	gramm	3
4788	grammar	1
4789	grand	66
4790	grandchildren	2
4791	granddaught	4
4792	grandfath	2
4793	grandios	1
4794	grandma	1
4795	grandmaison	1
4796	grandmom	1
4797	grandmoth	5
4798	grandson	13
4799	granger	5
4800	granit	1
4801	grant	48
4802	grapevin	1
4803	graphic	2
4804	grappl	3
4805	grasp	7
4806	grassley	1
4807	grate	17
4808	gratifi	3
4809	gratitud	4
4810	grave	22
4811	gravesid	2
4812	gravest	1
4813	gravi	1
4814	gravit	1
4815	graviti	1
4816	gray	3
4817	graze	1
4818	greaterwc	1
4819	greatli	2
4820	greec	4
4821	greed	1
4822	greek	3
4823	green	17
4824	greenhous	1
4825	greenleaf	1
4826	greenway	1
4827	greenwood	2
4828	greet	29
4829	greg	20
4830	gregor	4
4831	gregori	1
4832	gregorio	1
4833	grenad	11
4834	grenada	2
4835	greta	3
4836	grew	19
4837	greybeard	1
4838	grid	2
4839	gridlock	2
4840	grief	10
4841	griev	8
4842	grievanc	4
4843	griffith	1
4844	grim	15
4845	grimac	4
4846	grimfac	3
4847	grin	5
4848	grind	4
4849	grip	18
4850	grisli	2
4851	gritti	1
4852	groan	1
4853	groceri	2
4854	groh	1
4855	groom	1
4856	groov	2
4857	grope	1
4858	grosanc	1
4859	grosjean	17
4860	gross	2
4861	grotesqu	3
4862	ground	104
4863	groundbreak	1
4864	groundless	3
4865	groundstrok	12
4866	groundwork	3
4867	grove	1
4868	grow	61
4869	grown	16
4870	growth	8
4871	grubac	2
4872	gruber	1
4873	grucci	3
4874	grudg	1
4875	grudgingli	1
4876	gruel	5
4877	gruesom	2
4878	grumbl	2
4879	gruntlik	4
4880	gu	1
4881	guadalup	2
4882	guarante	21
4883	guaranti	2
4884	guard	80
4885	guardao	2
4886	guardian	5
4887	guardsmen	2
4888	guatemala	23
4889	guatemalan	2
4890	gubernatori	3
4891	guei	38
4892	guerilla	4
4893	guerrilla	18
4894	guess	16
4895	guest	14
4896	guevara	1
4897	guid	22
4898	guidedmissil	4
4899	guidelin	11
4900	guido	1
4901	guie	3
4902	guillermo	1
4903	guilt	4
4904	guilti	41
4905	guinea	2
4906	guis	3
4907	gujarat	39
4908	gujarati	2
4909	gujral	1
4910	gulch	1
4911	gulf	93
4912	gull	1
4913	gullast	1
4914	gun	49
4915	gunboat	2
4916	gunfight	1
4917	gunfir	9
4918	gungho	1
4919	gunman	2
4920	gunmen	1
4921	gunn	4
4922	gunrun	2
4923	gunshot	8
4924	guntot	1
4925	gupta	2
4926	gurney	1
4927	guru	1
4928	gustavo	17
4929	gut	4
4930	gutman	1
4931	guy	33
4932	guzman	2
4933	guzun	1
4934	gymnasium	3
4935	gyro	2
4936	gyrocompass	1
4937	gyroscop	3
4938	ha	2
4939	haaretz	1
4940	haass	4
4941	habiar	1
4942	habib	1
4943	habit	2
4944	haddock	1
4945	hadhramaut	6
4946	hadi	1
4947	hadnt	7
4948	hadramaut	2
4949	hager	2
4950	hagerstown	2
4951	haggard	1
4952	haggl	1
4953	hagu	33
4954	hahdramaut	1
4955	hai	2
4956	haider	1
4957	haight	1
4958	hail	11
4959	haiphong	1
4960	hair	15
4961	hairbreadth	1
4962	hairstyl	5
4963	hairstylist	1
4964	haiti	1
4965	haitian	1
4966	hal	1
4967	hale	1
4968	halevi	2
4969	haley	1
4970	half	108
4971	halfbroth	1
4972	halfburi	1
4973	halfdozen	2
4974	halfeaten	1
4975	halfexpress	1
4976	halffinish	2
4977	halfhour	2
4978	halfinch	3
4979	halfmil	2
4980	halfmillion	1
4981	halfpric	1
4982	halfsist	1
4983	halfstaff	3
4984	halfvolley	1
4985	halfway	4
4986	haliberton	1
4987	hall	18
4988	halliburton	4
4989	halloffam	1
4990	hallway	3
4991	halprin	15
4992	halt	22
4993	hama	9
4994	hamhand	2
4995	hamilton	5
4996	hammer	12
4997	hammerfest	1
4998	hammock	1
4999	hamper	15
5000	hampshir	4
5001	hampton	1
5002	hamstr	1
5003	hamza	2
5004	hancock	1
5005	hand	152
5006	handcarri	1
5007	handcuf	3
5008	handgun	12
5009	handi	3
5010	handicap	1
5011	handili	1
5012	handl	37
5013	handler	1
5014	handov	6
5015	handpick	5
5016	handshak	4
5017	handsom	2
5018	handson	4
5019	handwring	3
